"CountryNm","latlong","variable","value"
"LATVIA","56.97:24.13","2014-11-01",55
"QATAR","25.3:51.51","2014-11-01",55
"SRI LANKA","6.93:79.85","2014-11-01",55
"GHANA","5.56:-0.2","2014-12-01",55
"JORDAN","31.95:35.93","2014-12-01",55
"SRI LANKA","6.93:79.85","2014-12-01",55
"KENYA","-1.29:36.82","2014-07-01",54
"GHANA","5.56:-0.2","2014-08-01",54
"QATAR","25.3:51.51","2014-08-01",54
"LATVIA","56.97:24.13","2014-09-01",54
"JAMAICA","17.99:-76.8","2014-10-01",54
"SRI LANKA","6.93:79.85","2014-10-01",54
"JAMAICA","17.99:-76.8","2014-11-01",54
"JORDAN","31.95:35.93","2014-11-01",54
"JAMAICA","17.99:-76.8","2014-12-01",54
"LATVIA","56.97:24.13","2014-12-01",54
"LATVIA","56.97:24.13","2014-08-01",53
"JAMAICA","17.99:-76.8","2014-09-01",53
"HONDURAS","14.09:-87.22","2014-10-01",53
"SLOVENIA","46.06:14.51","2014-11-01",53
"QATAR","25.3:51.51","2014-07-01",52
"HONDURAS","14.09:-87.22","2014-09-01",52
"SRI LANKA","6.93:79.85","2014-09-01",52
"HONDURAS","14.09:-87.22","2014-11-01",52
"HONDURAS","14.09:-87.22","2014-12-01",52
"GHANA","5.56:-0.2","2014-07-01",51
"SAMOA","-13.83:-171.76","2014-07-01",51
"JAMAICA","17.99:-76.8","2014-08-01",51
"SAMOA","-13.83:-171.76","2014-08-01",51
"SRI LANKA","6.93:79.85","2014-08-01",51
"JORDAN","31.95:35.93","2014-10-01",51
"SAMOA","-13.83:-171.76","2014-12-01",51
"HONDURAS","14.09:-87.22","2014-07-01",50
"LATVIA","56.97:24.13","2014-07-01",50
"HONDURAS","14.09:-87.22","2014-08-01",50
"IRAQ","33.33:44.44","2014-07-01",49
"JORDAN","31.95:35.93","2014-08-01",49
"JORDAN","31.95:35.93","2014-09-01",49
"SAMOA","-13.83:-171.76","2014-09-01",49
"SAMOA","-13.83:-171.76","2014-10-01",49
"AZERBAIJAN","40.39:49.86","2014-11-01",49
"SAMOA","-13.83:-171.76","2014-11-01",49
"JORDAN","31.95:35.93","2014-07-01",48
"AZERBAIJAN","40.39:49.86","2014-10-01",46
"EL SALVADOR","13.69:-89.19","2014-11-01",45
"EL SALVADOR","13.69:-89.19","2014-08-01",44
"AZERBAIJAN","40.39:49.86","2014-09-01",44
"EL SALVADOR","13.69:-89.19","2014-09-01",44
"EL SALVADOR","13.69:-89.19","2014-10-01",44
"SAUDI ARABIA","24.65:46.77","2014-12-01",44
"SEYCHELLES","-4.62:55.45","2014-07-01",43
"ANDORRA","42.51:1.51","2014-10-01",43
"ANDORRA","42.51:1.51","2014-11-01",43
"JAMAICA","17.99:-76.8","2014-07-01",42
"SRI LANKA","6.93:79.85","2014-07-01",42
"ANDORRA","42.51:1.51","2014-08-01",42
"AZERBAIJAN","40.39:49.86","2014-08-01",42
"ANDORRA","42.51:1.51","2014-09-01",42
"SAUDI ARABIA","24.65:46.77","2014-09-01",42
"SAUDI ARABIA","24.65:46.77","2014-10-01",42
"NAMIBIA","-22.56:17.09","2014-11-01",42
"SAUDI ARABIA","24.65:46.77","2014-11-01",42
"ANDORRA","42.51:1.51","2014-12-01",42
"NAMIBIA","-22.56:17.09","2014-12-01",42
"EL SALVADOR","13.69:-89.19","2014-07-01",41
"SLOVENIA","46.06:14.51","2014-10-01",41
"ANTIGUA AND BARBUDA","17.11:-61.85","2014-11-01",41
"ANTIGUA AND BARBUDA","17.11:-61.85","2014-08-01",40
"SAUDI ARABIA","24.65:46.77","2014-08-01",40
"ANTIGUA AND BARBUDA","17.11:-61.85","2014-09-01",40
"SLOVENIA","46.06:14.51","2014-09-01",40
"ANTIGUA AND BARBUDA","17.11:-61.85","2014-10-01",40
"ANTIGUA AND BARBUDA","17.11:-61.85","2014-12-01",40
"ANTIGUA AND BARBUDA","17.11:-61.85","2014-07-01",39
"SLOVENIA","46.06:14.51","2014-08-01",38
"LIBERIA","6.31:-10.8","2014-11-01",37
"LIBERIA","6.31:-10.8","2014-12-01",37
"ESTONIA","59.44:24.74","2014-08-01",36
"ESTONIA","59.44:24.74","2014-09-01",36
"ESTONIA","59.44:24.74","2014-10-01",36
"ESTONIA","59.44:24.74","2014-11-01",36
"ANDORRA","42.51:1.51","2014-07-01",35
"NAMIBIA","-22.56:17.09","2014-10-01",35
"ARMENIA","40.17:44.52","2014-11-01",35
"NEPAL","27.71:85.31","2014-11-01",35
"ARMENIA","40.17:44.52","2014-12-01",35
"ESTONIA","59.44:24.74","2014-12-01",35
"NEPAL","27.71:85.31","2014-12-01",35
"ARMENIA","40.17:44.52","2014-07-01",34
"AZERBAIJAN","40.39:49.86","2014-07-01",34
"ARMENIA","40.17:44.52","2014-08-01",34
"ARMENIA","40.17:44.52","2014-09-01",34
"ARMENIA","40.17:44.52","2014-10-01",34
"NEPAL","27.71:85.31","2014-10-01",34
"GRENADA","12.06:-61.74","2014-11-01",34
"BOSNIA AND HERZEGOVINA","43.85:18.38","2014-12-01",34
"PARAGUAY","-25.3:-57.63","2014-12-01",34
"ESTONIA","59.44:24.74","2014-07-01",33
"GRENADA","12.06:-61.74","2014-07-01",33
"NEPAL","27.71:85.31","2014-07-01",33
"GRENADA","12.06:-61.74","2014-08-01",33
"NEPAL","27.71:85.31","2014-08-01",33
"GRENADA","12.06:-61.74","2014-09-01",33
"NEPAL","27.71:85.31","2014-09-01",33
"GRENADA","12.06:-61.74","2014-10-01",33
"ECUADOR","-0.19:-78.5","2014-12-01",33
"GRENADA","12.06:-61.74","2014-12-01",33
"SLOVENIA","46.06:14.51","2014-07-01",32
"LITHUANIA","54.7:25.27","2014-12-01",32
"LIBERIA","6.31:-10.8","2014-08-01",31
"LITHUANIA","54.7:25.27","2014-08-01",31
"LIBERIA","6.31:-10.8","2014-09-01",31
"LITHUANIA","54.7:25.27","2014-09-01",31
"LIBERIA","6.31:-10.8","2014-10-01",31
"LITHUANIA","54.7:25.27","2014-10-01",31
"LITHUANIA","54.7:25.27","2014-11-01",31
"PARAGUAY","-25.3:-57.63","2014-11-01",31
"OMAN","23.61:58.54","2014-08-01",30
"KYRGYZSTAN","42.87:74.57","2014-09-01",30
"OMAN","23.61:58.54","2014-09-01",30
"GEORGIA","41.72:44.79","2014-10-01",30
"KYRGYZSTAN","42.87:74.57","2014-10-01",30
"OMAN","23.61:58.54","2014-10-01",30
"ECUADOR","-0.19:-78.5","2014-11-01",30
"GEORGIA","41.72:44.79","2014-11-01",30
"KYRGYZSTAN","42.87:74.57","2014-11-01",30
"GEORGIA","41.72:44.79","2014-12-01",30
"KYRGYZSTAN","42.87:74.57","2014-12-01",30
"KYRGYZSTAN","42.87:74.57","2014-07-01",29
"LIBERIA","6.31:-10.8","2014-07-01",29
"LITHUANIA","54.7:25.27","2014-07-01",29
"GEORGIA","41.72:44.79","2014-08-01",29
"KYRGYZSTAN","42.87:74.57","2014-08-01",29
"NAMIBIA","-22.56:17.09","2014-08-01",29
"GEORGIA","41.72:44.79","2014-09-01",29
"NAMIBIA","-22.56:17.09","2014-09-01",29
"ECUADOR","-0.19:-78.5","2014-10-01",29
"BOSNIA AND HERZEGOVINA","43.85:18.38","2014-11-01",29
"OMAN","23.61:58.54","2014-11-01",29
"OMAN","23.61:58.54","2014-12-01",29
"UGANDA","0.32:32.58","2014-12-01",29
"ECUADOR","-0.19:-78.5","2014-08-01",28
"ECUADOR","-0.19:-78.5","2014-09-01",28
"ECUADOR","-0.19:-78.5","2014-07-01",27
"PARAGUAY","-25.3:-57.63","2014-10-01",27
"UGANDA","0.32:32.58","2014-11-01",27
"BOTSWANA","-24.65:25.91","2014-12-01",27
"GEORGIA","41.72:44.79","2014-07-01",26
"NAMIBIA","-22.56:17.09","2014-07-01",26
"BOSNIA AND HERZEGOVINA","43.85:18.38","2014-10-01",26
"TAJIKISTAN","38.57:68.78","2014-12-01",26
"OMAN","23.61:58.54","2014-07-01",25
"BOSNIA AND HERZEGOVINA","43.85:18.38","2014-08-01",25
"BOSNIA AND HERZEGOVINA","43.85:18.38","2014-09-01",25
"UGANDA","0.32:32.58","2014-10-01",25
"BOTSWANA","-24.65:25.91","2014-08-01",24
"UGANDA","0.32:32.58","2014-08-01",24
"BOTSWANA","-24.65:25.91","2014-09-01",24
"PARAGUAY","-25.3:-57.63","2014-09-01",24
"UGANDA","0.32:32.58","2014-09-01",24
"TAJIKISTAN","38.57:68.78","2014-10-01",24
"TAJIKISTAN","38.57:68.78","2014-11-01",24
"ZAMBIA","-15.42:28.29","2014-12-01",24
"BOSNIA AND HERZEGOVINA","43.85:18.38","2014-07-01",23
"ZAMBIA","-15.42:28.29","2014-11-01",23
"MONGOLIA","47.93:106.91","2014-08-01",22
"TAJIKISTAN","38.57:68.78","2014-08-01",22
"ZAMBIA","-15.42:28.29","2014-08-01",22
"MONGOLIA","47.93:106.91","2014-09-01",22
"TAJIKISTAN","38.57:68.78","2014-09-01",22
"ZAMBIA","-15.42:28.29","2014-09-01",22
"BOTSWANA","-24.65:25.91","2014-10-01",22
"MONGOLIA","47.93:106.91","2014-10-01",22
"ZAMBIA","-15.42:28.29","2014-10-01",22
"BOTSWANA","-24.65:25.91","2014-11-01",22
"MONGOLIA","47.93:106.91","2014-11-01",22
"ANGOLA","-8.82:13.24","2014-12-01",22
"MONGOLIA","47.93:106.91","2014-12-01",22
"SAUDI ARABIA","24.65:46.77","2014-07-01",21
"PARAGUAY","-25.3:-57.63","2014-08-01",21
"BOTSWANA","-24.65:25.91","2014-07-01",20
"ALBANIA","41.33:19.82","2014-08-01",20
"ALBANIA","41.33:19.82","2014-09-01",20
"DOMINICA","15.3:-61.39","2014-09-01",20
"ALBANIA","41.33:19.82","2014-10-01",20
"DOMINICA","15.3:-61.39","2014-10-01",20
"ALBANIA","41.33:19.82","2014-11-01",20
"ANGOLA","-8.82:13.24","2014-11-01",20
"DOMINICA","15.3:-61.39","2014-11-01",20
"ALBANIA","41.33:19.82","2014-12-01",20
"YEMEN","15.38:44.21","2014-12-01",20
"TAJIKISTAN","38.57:68.78","2014-07-01",19
"UGANDA","0.32:32.58","2014-07-01",19
"YEMEN","15.38:44.21","2014-08-01",19
"YEMEN","15.38:44.21","2014-09-01",19
"ANGOLA","-8.82:13.24","2014-10-01",19
"YEMEN","15.38:44.21","2014-10-01",19
"NICARAGUA","12.15:-86.27","2014-11-01",19
"YEMEN","15.38:44.21","2014-11-01",19
"DOMINICA","15.3:-61.39","2014-12-01",19
"MOZAMBIQUE","-25.95:32.57","2014-12-01",19
"MYANMAR","16.79:96.15","2014-12-01",19
"NICARAGUA","12.15:-86.27","2014-12-01",19
"DOMINICA","15.3:-61.39","2014-07-01",18
"YEMEN","15.38:44.21","2014-07-01",18
"ARUBA","12.53:-70.03","2014-08-01",18
"DOMINICA","15.3:-61.39","2014-08-01",18
"ANGOLA","-8.82:13.24","2014-09-01",18
"ARUBA","12.53:-70.03","2014-09-01",18
"ARUBA","12.53:-70.03","2014-10-01",18
"MALAWI","-13.97:33.8","2014-10-01",18
"MYANMAR","16.79:96.15","2014-10-01",18
"ARUBA","12.53:-70.03","2014-11-01",18
"MALAWI","-13.97:33.8","2014-11-01",18
"MYANMAR","16.79:96.15","2014-11-01",18
"RWANDA","-1.94:30.06","2014-11-01",18
"ARUBA","12.53:-70.03","2014-12-01",18
"MALAWI","-13.97:33.8","2014-12-01",18
"PARAGUAY","-25.3:-57.63","2014-07-01",17
"MALAWI","-13.97:33.8","2014-08-01",17
"MOZAMBIQUE","-25.95:32.57","2014-08-01",17
"MYANMAR","16.79:96.15","2014-08-01",17
"SAN MARINO","43.94:12.43","2014-08-01",17
"MALAWI","-13.97:33.8","2014-09-01",17
"MOZAMBIQUE","-25.95:32.57","2014-09-01",17
"MYANMAR","16.79:96.15","2014-09-01",17
"SAN MARINO","43.94:12.43","2014-09-01",17
"MOZAMBIQUE","-25.95:32.57","2014-10-01",17
"RWANDA","-1.94:30.06","2014-10-01",17
"SAN MARINO","43.94:12.43","2014-10-01",17
"MOZAMBIQUE","-25.95:32.57","2014-11-01",17
"SAN MARINO","43.94:12.43","2014-11-01",17
"RWANDA","-1.94:30.06","2014-12-01",17
"SAN MARINO","43.94:12.43","2014-12-01",17
"ALBANIA","41.33:19.82","2014-07-01",16
"ARUBA","12.53:-70.03","2014-07-01",16
"ANGOLA","-8.82:13.24","2014-08-01",16
"NICARAGUA","12.15:-86.27","2014-08-01",16
"NICARAGUA","12.15:-86.27","2014-09-01",16
"NICARAGUA","12.15:-86.27","2014-10-01",16
"SENEGAL","14.72:-17.48","2014-11-01",16
"ICELAND","64.14:-21.92","2014-12-01",16
"SENEGAL","14.72:-17.48","2014-12-01",16
"MONGOLIA","47.93:106.91","2014-07-01",15
"MOZAMBIQUE","-25.95:32.57","2014-07-01",15
"NICARAGUA","12.15:-86.27","2014-07-01",15
"SAN MARINO","43.94:12.43","2014-07-01",15
"HAITI","18.54:-72.34","2014-08-01",15
"HAITI","18.54:-72.34","2014-09-01",15
"HAITI","18.54:-72.34","2014-10-01",15
"SENEGAL","14.72:-17.48","2014-10-01",15
"HAITI","18.54:-72.34","2014-11-01",15
"HAITI","18.54:-72.34","2014-12-01",15
"SENEGAL","14.72:-17.48","2014-09-01",14
"ICELAND","64.14:-21.92","2014-11-01",14
"MAURITANIA","18.09:-15.98","2014-11-01",14
"MAURITANIA","18.09:-15.98","2014-12-01",14
"HAITI","18.54:-72.34","2014-07-01",13
"ZAMBIA","-15.42:28.29","2014-07-01",13
"MAURITANIA","18.09:-15.98","2014-08-01",13
"SENEGAL","14.72:-17.48","2014-08-01",13
"CAPE VERDE","14.93:-23.54","2014-09-01",13
"MAURITANIA","18.09:-15.98","2014-09-01",13
"CAPE VERDE","14.93:-23.54","2014-10-01",13
"GAMBIA","13.46:-16.6","2014-10-01",13
"MAURITANIA","18.09:-15.98","2014-10-01",13
"CAMEROON","3.87:11.52","2014-11-01",13
"CAPE VERDE","14.93:-23.54","2014-11-01",13
"GAMBIA","13.46:-16.6","2014-11-01",13
"CAMEROON","3.87:11.52","2014-12-01",13
"GAMBIA","13.46:-16.6","2014-12-01",13
"ICELAND","64.14:-21.92","2014-07-01",12
"CAPE VERDE","14.93:-23.54","2014-08-01",12
"GAMBIA","13.46:-16.6","2014-08-01",12
"ICELAND","64.14:-21.92","2014-08-01",12
"TUNISIA","36.84:10.22","2014-08-01",12
"GAMBIA","13.46:-16.6","2014-09-01",12
"ICELAND","64.14:-21.92","2014-09-01",12
"TUNISIA","36.84:10.22","2014-09-01",12
"CAMEROON","3.87:11.52","2014-10-01",12
"ICELAND","64.14:-21.92","2014-10-01",12
"TUNISIA","36.84:10.22","2014-10-01",12
"TUNISIA","36.84:10.22","2014-11-01",12
"CAPE VERDE","14.93:-23.54","2014-12-01",12
"TUNISIA","36.84:10.22","2014-12-01",12
"GAMBIA","13.46:-16.6","2014-07-01",11
"AFGHANISTAN","34.53:69.17","2014-09-01",11
"RWANDA","-1.94:30.06","2014-09-01",11
"AFGHANISTAN","34.53:69.17","2014-10-01",11
"AFGHANISTAN","34.53:69.17","2014-11-01",11
"BENIN","6.48:2.63","2014-11-01",11
"GUINEA","9.55:-13.67","2014-11-01",11
"TURKMENISTAN","37.95:58.38","2014-11-01",11
"AFGHANISTAN","34.53:69.17","2014-12-01",11
"BENIN","6.48:2.63","2014-12-01",11
"GUINEA","9.55:-13.67","2014-12-01",11
"GUYANA","6.79:-58.16","2014-12-01",11
"MALI","12.65:-7.99","2014-12-01",11
"TURKMENISTAN","37.95:58.38","2014-12-01",11
"ETHIOPIA","9.03:38.74","2014-12-01",11
"ANGOLA","-8.82:13.24","2014-07-01",10
"CAMEROON","3.87:11.52","2014-07-01",10
"MALAWI","-13.97:33.8","2014-07-01",10
"SENEGAL","14.72:-17.48","2014-07-01",10
"TUNISIA","36.84:10.22","2014-07-01",10
"AFGHANISTAN","34.53:69.17","2014-08-01",10
"CAMEROON","3.87:11.52","2014-08-01",10
"MALI","12.65:-7.99","2014-08-01",10
"RWANDA","-1.94:30.06","2014-08-01",10
"TOGO","6.17:1.35","2014-08-01",10
"CAMEROON","3.87:11.52","2014-09-01",10
"MALI","12.65:-7.99","2014-09-01",10
"SWAZILAND","-26.32:31.14","2014-09-01",10
"TOGO","6.17:1.35","2014-09-01",10
"BENIN","6.48:2.63","2014-10-01",10
"MALI","12.65:-7.99","2014-10-01",10
"SURINAME","5.85:-55.2","2014-10-01",10
"SWAZILAND","-26.32:31.14","2014-10-01",10
"TOGO","6.17:1.35","2014-10-01",10
"GUYANA","6.79:-58.16","2014-11-01",10
"MALI","12.65:-7.99","2014-11-01",10
"SURINAME","5.85:-55.2","2014-11-01",10
"SWAZILAND","-26.32:31.14","2014-11-01",10
"TOGO","6.17:1.35","2014-11-01",10
"SIERRA LEONE","8.49:-13.24","2014-12-01",10
"SURINAME","5.85:-55.2","2014-12-01",10
"SWAZILAND","-26.32:31.14","2014-12-01",10
"TOGO","6.17:1.35","2014-12-01",10
"ALGERIA","36.77:3.04","2014-07-01",9
"RWANDA","-1.94:30.06","2014-07-01",9
"SIERRA LEONE","8.49:-13.24","2014-07-01",9
"SURINAME","5.85:-55.2","2014-07-01",9
"GUYANA","6.79:-58.16","2014-08-01",9
"SIERRA LEONE","8.49:-13.24","2014-08-01",9
"SURINAME","5.85:-55.2","2014-08-01",9
"SWAZILAND","-26.32:31.14","2014-08-01",9
"BENIN","6.48:2.63","2014-09-01",9
"GUYANA","6.79:-58.16","2014-09-01",9
"SIERRA LEONE","8.49:-13.24","2014-09-01",9
"SURINAME","5.85:-55.2","2014-09-01",9
"GUINEA","9.55:-13.67","2014-10-01",9
"GUYANA","6.79:-58.16","2014-10-01",9
"SIERRA LEONE","8.49:-13.24","2014-10-01",9
"VANUATU","-17.74:168.31","2014-10-01",9
"SIERRA LEONE","8.49:-13.24","2014-11-01",9
"VANUATU","-17.74:168.31","2014-11-01",9
"ETHIOPIA","9.03:38.74","2014-11-01",9
"VANUATU","-17.74:168.31","2014-12-01",9
"ZIMBABWE","-17.82:31.05","2014-12-01",9
"AFGHANISTAN","34.53:69.17","2014-07-01",8
"BENIN","6.48:2.63","2014-07-01",8
"BENIN","6.48:2.63","2014-08-01",8
"BURKINA FASO","12.37:-1.53","2014-08-01",8
"GUINEA","9.55:-13.67","2014-08-01",8
"ZIMBABWE","-17.82:31.05","2014-08-01",8
"BURKINA FASO","12.37:-1.53","2014-09-01",8
"GUINEA","9.55:-13.67","2014-09-01",8
"VANUATU","-17.74:168.31","2014-09-01",8
"ZIMBABWE","-17.82:31.05","2014-09-01",8
"BURKINA FASO","12.37:-1.53","2014-10-01",8
"ZIMBABWE","-17.82:31.05","2014-10-01",8
"BURKINA FASO","12.37:-1.53","2014-11-01",8
"LIBYA","32.87:13.18","2014-11-01",8
"MADAGASCAR","-18.89:47.51","2014-11-01",8
"ZIMBABWE","-17.82:31.05","2014-11-01",8
"BURKINA FASO","12.37:-1.53","2014-12-01",8
"LIBYA","32.87:13.18","2014-12-01",8
"MADAGASCAR","-18.89:47.51","2014-12-01",8
"GUINEA","9.55:-13.67","2014-07-01",7
"GUYANA","6.79:-58.16","2014-07-01",7
"LIBYA","32.87:13.18","2014-07-01",7
"MADAGASCAR","-18.89:47.51","2014-07-01",7
"ALGERIA","36.77:3.04","2014-08-01",7
"LIBYA","32.87:13.18","2014-08-01",7
"MADAGASCAR","-18.89:47.51","2014-08-01",7
"MALDIVES","4.17:73.5","2014-08-01",7
"LIBYA","32.87:13.18","2014-09-01",7
"MADAGASCAR","-18.89:47.51","2014-09-01",7
"MALDIVES","4.17:73.5","2014-09-01",7
"LIBYA","32.87:13.18","2014-10-01",7
"MADAGASCAR","-18.89:47.51","2014-10-01",7
"MALDIVES","4.17:73.5","2014-10-01",7
"MALDIVES","4.17:73.5","2014-11-01",7
"SUDAN","15.58:32.52","2014-11-01",7
"BURUNDI","-3.37:29.35","2014-12-01",7
"MALDIVES","4.17:73.5","2014-12-01",7
"SUDAN","15.58:32.52","2014-12-01",7
"BURKINA FASO","12.37:-1.53","2014-07-01",6
"CAPE VERDE","14.93:-23.54","2014-07-01",6
"MALDIVES","4.17:73.5","2014-07-01",6
"MAURITANIA","18.09:-15.98","2014-07-01",6
"MYANMAR","16.79:96.15","2014-07-01",6
"TOGO","6.17:1.35","2014-07-01",6
"ZIMBABWE","-17.82:31.05","2014-07-01",6
"ALGERIA","36.77:3.04","2014-09-01",6
"SUDAN","15.58:32.52","2014-09-01",6
"ALGERIA","36.77:3.04","2014-10-01",6
"SUDAN","15.58:32.52","2014-10-01",6
"ALGERIA","36.77:3.04","2014-11-01",6
"LESOTHO","-29.31:27.49","2014-11-01",6
"ALGERIA","36.77:3.04","2014-12-01",6
"LESOTHO","-29.31:27.49","2014-12-01",6
"CONGO","-4.25:15.26","2014-07-01",5
"MALI","12.65:-7.99","2014-07-01",5
"NEW CALEDONIA","-22.27:166.44","2014-07-01",5
"SWAZILAND","-26.32:31.14","2014-07-01",5
"VANUATU","-17.74:168.31","2014-07-01",5
"CONGO","-4.25:15.26","2014-08-01",5
"NEW CALEDONIA","-22.27:166.44","2014-08-01",5
"NIGER","13.52:2.12","2014-08-01",5
"VANUATU","-17.74:168.31","2014-08-01",5
"SUDAN","15.58:32.52","2014-08-01",5
"CONGO","-4.25:15.26","2014-09-01",5
"NEW CALEDONIA","-22.27:166.44","2014-09-01",5
"NIGER","13.52:2.12","2014-09-01",5
"BURUNDI","-3.37:29.35","2014-10-01",5
"CONGO","-4.25:15.26","2014-10-01",5
"NEW CALEDONIA","-22.27:166.44","2014-10-01",5
"NIGER","13.52:2.12","2014-10-01",5
"BURUNDI","-3.37:29.35","2014-11-01",5
"CONGO","-4.25:15.26","2014-11-01",5
"NEW CALEDONIA","-22.27:166.44","2014-11-01",5
"NIGER","13.52:2.12","2014-11-01",5
"CONGO","-4.25:15.26","2014-12-01",5
"GABON","0.39:9.45","2014-12-01",5
"NEW CALEDONIA","-22.27:166.44","2014-12-01",5
"NIGER","13.52:2.12","2014-12-01",5
"UZBEKISTAN","41.31:69.3","2014-12-01",5
"CHAD","12.11:15.05","2014-07-01",4
"GABON","0.39:9.45","2014-07-01",4
"GUAM","13.47:144.75","2014-07-01",4
"NIGER","13.52:2.12","2014-07-01",4
"PAPUA NEW GUINEA","-9.48:147.18","2014-07-01",4
"PUERTO RICO","18.44:-66.13","2014-07-01",4
"BURUNDI","-3.37:29.35","2014-08-01",4
"CENTRAL AFRICAN REPUBLIC","4.36:18.56","2014-08-01",4
"CHAD","12.11:15.05","2014-08-01",4
"GABON","0.39:9.45","2014-08-01",4
"GUAM","13.47:144.75","2014-08-01",4
"PAPUA NEW GUINEA","-9.48:147.18","2014-08-01",4
"PUERTO RICO","18.44:-66.13","2014-08-01",4
"BURUNDI","-3.37:29.35","2014-09-01",4
"CENTRAL AFRICAN REPUBLIC","4.36:18.56","2014-09-01",4
"CHAD","12.11:15.05","2014-09-01",4
"GABON","0.39:9.45","2014-09-01",4
"GUAM","13.47:144.75","2014-09-01",4
"PAPUA NEW GUINEA","-9.48:147.18","2014-09-01",4
"PUERTO RICO","18.44:-66.13","2014-09-01",4
"SOLOMON ISLANDS","-9.43:159.91","2014-09-01",4
"CENTRAL AFRICAN REPUBLIC","4.36:18.56","2014-10-01",4
"CHAD","12.11:15.05","2014-10-01",4
"GABON","0.39:9.45","2014-10-01",4
"LESOTHO","-29.31:27.49","2014-10-01",4
"PAPUA NEW GUINEA","-9.48:147.18","2014-10-01",4
"PUERTO RICO","18.44:-66.13","2014-10-01",4
"SOLOMON ISLANDS","-9.43:159.91","2014-10-01",4
"ETHIOPIA","9.03:38.74","2014-10-01",4
"CENTRAL AFRICAN REPUBLIC","4.36:18.56","2014-11-01",4
"CHAD","12.11:15.05","2014-11-01",4
"EQUATORIAL GUINEA","3.74:8.79","2014-11-01",4
"GABON","0.39:9.45","2014-11-01",4
"PAPUA NEW GUINEA","-9.48:147.18","2014-11-01",4
"PUERTO RICO","18.44:-66.13","2014-11-01",4
"SAO TOME AND PRINCIPE","0.37:6.73","2014-11-01",4
"SOLOMON ISLANDS","-9.43:159.91","2014-11-01",4
"UZBEKISTAN","41.31:69.3","2014-11-01",4
"CENTRAL AFRICAN REPUBLIC","4.36:18.56","2014-12-01",4
"CHAD","12.11:15.05","2014-12-01",4
"DJIBOUTI","11.56:43.15","2014-12-01",4
"EQUATORIAL GUINEA","3.74:8.79","2014-12-01",4
"PAPUA NEW GUINEA","-9.48:147.18","2014-12-01",4
"PUERTO RICO","18.44:-66.13","2014-12-01",4
"SAO TOME AND PRINCIPE","0.37:6.73","2014-12-01",4
"SOLOMON ISLANDS","-9.43:159.91","2014-12-01",4
"BURUNDI","-3.37:29.35","2014-07-01",3
"FRENCH POLYNESIA","-17.52:-149.56","2014-07-01",3
"SOLOMON ISLANDS","-9.43:159.91","2014-07-01",3
"EQUATORIAL GUINEA","3.74:8.79","2014-08-01",3
"FRENCH POLYNESIA","-17.52:-149.56","2014-08-01",3
"LESOTHO","-29.31:27.49","2014-08-01",3
"SOLOMON ISLANDS","-9.43:159.91","2014-08-01",3
"UZBEKISTAN","41.31:69.3","2014-08-01",3
"DJIBOUTI","11.56:43.15","2014-09-01",3
"EQUATORIAL GUINEA","3.74:8.79","2014-09-01",3
"FRENCH POLYNESIA","-17.52:-149.56","2014-09-01",3
"LESOTHO","-29.31:27.49","2014-09-01",3
"UZBEKISTAN","41.31:69.3","2014-09-01",3
"ETHIOPIA","9.03:38.74","2014-09-01",3
"EQUATORIAL GUINEA","3.74:8.79","2014-10-01",3
"FRENCH POLYNESIA","-17.52:-149.56","2014-10-01",3
"GUAM","13.47:144.75","2014-10-01",3
"SAO TOME AND PRINCIPE","0.37:6.73","2014-10-01",3
"UZBEKISTAN","41.31:69.3","2014-10-01",3
"DJIBOUTI","11.56:43.15","2014-11-01",3
"FRENCH POLYNESIA","-17.52:-149.56","2014-11-01",3
"GREENLAND","64.18:-51.73","2014-11-01",3
"GUAM","13.47:144.75","2014-11-01",3
"COMOROS","-11.74:43.23","2014-12-01",3
"FRENCH POLYNESIA","-17.52:-149.56","2014-12-01",3
"GREENLAND","64.18:-51.73","2014-12-01",3
"GUAM","13.47:144.75","2014-12-01",3
"CENTRAL AFRICAN REPUBLIC","4.36:18.56","2014-07-01",2
"DJIBOUTI","11.56:43.15","2014-07-01",2
"LESOTHO","-29.31:27.49","2014-07-01",2
"TONGA","-21.14:-175.22","2014-07-01",2
"UZBEKISTAN","41.31:69.3","2014-07-01",2
"BHUTAN","27.48:89.7","2014-08-01",2
"DJIBOUTI","11.56:43.15","2014-08-01",2
"GREENLAND","64.18:-51.73","2014-08-01",2
"SAO TOME AND PRINCIPE","0.37:6.73","2014-08-01",2
"TONGA","-21.14:-175.22","2014-08-01",2
"ETHIOPIA","9.03:38.74","2014-08-01",2
"BHUTAN","27.48:89.7","2014-09-01",2
"GREENLAND","64.18:-51.73","2014-09-01",2
"SAO TOME AND PRINCIPE","0.37:6.73","2014-09-01",2
"TONGA","-21.14:-175.22","2014-09-01",2
"BHUTAN","27.48:89.7","2014-10-01",2
"DJIBOUTI","11.56:43.15","2014-10-01",2
"GREENLAND","64.18:-51.73","2014-10-01",2
"TONGA","-21.14:-175.22","2014-10-01",2
"BHUTAN","27.48:89.7","2014-11-01",2
"TONGA","-21.14:-175.22","2014-11-01",2
"BHUTAN","27.48:89.7","2014-12-01",2
"TONGA","-21.14:-175.22","2014-12-01",2
"BHUTAN","27.48:89.7","2014-07-01",1
"COMOROS","-11.74:43.23","2014-07-01",1
"EQUATORIAL GUINEA","3.74:8.79","2014-07-01",1
