"CountryNm","latlong","variable","value"
"ITALY","41.89:12.5","2014-10-01",760
"TAIWAN","25.02:121.45","2014-09-01",757
"ISLE OF MAN","54.15:-4.48","2014-12-01",746
"ITALY","41.89:12.5","2014-09-01",743
"BAHAMAS","25.06:-77.33","2014-11-01",736
"NEW ZEALAND","-41.28:174.78","2014-12-01",736
"BAHAMAS","25.06:-77.33","2014-10-01",721
"PANAMA","8.97:-79.53","2014-12-01",714
"NEW ZEALAND","-41.28:174.78","2014-11-01",705
"BAHAMAS","25.06:-77.33","2014-09-01",701
"PANAMA","8.97:-79.53","2014-11-01",698
"PANAMA","8.97:-79.53","2014-10-01",684
"BAHAMAS","25.06:-77.33","2014-08-01",674
"PANAMA","8.97:-79.53","2014-09-01",673
"CHINA","39.93:116.4","2014-12-01",658
"ITALY","41.89:12.5","2014-08-01",654
"NEW ZEALAND","-41.28:174.78","2014-10-01",648
"BAHAMAS","25.06:-77.33","2014-07-01",646
"ISLE OF MAN","54.15:-4.48","2014-11-01",625
"MALTA","35.91:14.52","2014-12-01",620
"CHINA","39.93:116.4","2014-11-01",609
"SOUTH AFRICA","-25.73:28.22","2014-12-01",607
"CHINA","39.93:116.4","2014-10-01",599
"ITALY","41.89:12.5","2014-07-01",587
"CHINA","39.93:116.4","2014-09-01",577
"SOUTH AFRICA","-25.73:28.22","2014-11-01",571
"ISLE OF MAN","54.15:-4.48","2014-10-01",557
"MALTA","35.91:14.52","2014-11-01",551
"NEW ZEALAND","-41.28:174.78","2014-09-01",550
"CHINA","39.93:116.4","2014-08-01",547
"PANAMA","8.97:-79.53","2014-08-01",540
"FINLAND","60.17:24.94","2014-12-01",533
"MEXICO","19.43:-99.14","2014-12-01",532
"SOUTH AFRICA","-25.73:28.22","2014-10-01",529
"SWEDEN","59.33:18.07","2014-12-01",528
"TAIWAN","25.02:121.45","2014-08-01",525
"FINLAND","60.17:24.94","2014-11-01",522
"MEXICO","19.43:-99.14","2014-11-01",522
"MEXICO","19.43:-99.14","2014-10-01",516
"GIBRALTAR","36.14:-5.35","2014-08-01",513
"MEXICO","19.43:-99.14","2014-09-01",512
"FINLAND","60.17:24.94","2014-10-01",512
"SWEDEN","59.33:18.07","2014-11-01",512
"SOUTH AFRICA","-25.73:28.22","2014-09-01",501
"FINLAND","60.17:24.94","2014-09-01",499
"MALAYSIA","3.16:101.71","2014-12-01",498
"MALAYSIA","3.16:101.71","2014-11-01",493
"MEXICO","19.43:-99.14","2014-08-01",491
"FINLAND","60.17:24.94","2014-08-01",490
"SOUTH AFRICA","-25.73:28.22","2014-08-01",487
"MALAYSIA","3.16:101.71","2014-10-01",487
"ARGENTINA","-34.61:-58.37","2014-12-01",487
"PANAMA","8.97:-79.53","2014-07-01",484
"LIECHTENSTEIN","47.14:9.53","2014-12-01",484
"FINLAND","60.17:24.94","2014-07-01",482
"TAIWAN","25.02:121.45","2014-07-01",481
"CYPRUS","35.18:33.37","2014-12-01",481
"MALAYSIA","3.16:101.71","2014-09-01",480
"SWEDEN","59.33:18.07","2014-10-01",480
"ARGENTINA","-34.61:-58.37","2014-11-01",477
"ISRAEL","31.78:35.22","2014-12-01",477
"MALAYSIA","3.16:101.71","2014-08-01",475
"ISLE OF MAN","54.15:-4.48","2014-09-01",475
"SWEDEN","59.33:18.07","2014-09-01",469
"ISRAEL","31.78:35.22","2014-11-01",463
"ARGENTINA","-34.61:-58.37","2014-10-01",462
"SWEDEN","59.33:18.07","2014-08-01",454
"ARGENTINA","-34.61:-58.37","2014-09-01",449
"MALTA","35.91:14.52","2014-10-01",438
"CYPRUS","35.18:33.37","2014-11-01",438
"MALAYSIA","3.16:101.71","2014-07-01",437
"ARGENTINA","-34.61:-58.37","2014-08-01",437
"NEW ZEALAND","-41.28:174.78","2014-08-01",430
"NORWAY","59.91:10.75","2014-12-01",426
"INDONESIA","-6.18:106.83","2014-12-01",425
"CYPRUS","35.18:33.37","2014-10-01",421
"ISRAEL","31.78:35.22","2014-10-01",420
"INDONESIA","-6.18:106.83","2014-11-01",419
"ISLE OF MAN","54.15:-4.48","2014-08-01",417
"SWEDEN","59.33:18.07","2014-07-01",414
"INDONESIA","-6.18:106.83","2014-10-01",412
"LIECHTENSTEIN","47.14:9.53","2014-11-01",412
"MEXICO","19.43:-99.14","2014-07-01",410
"NORWAY","59.91:10.75","2014-11-01",409
"INDONESIA","-6.18:106.83","2014-09-01",406
"ARGENTINA","-34.61:-58.37","2014-07-01",401
"INDIA","28.6:77.22","2014-12-01",401
"CYPRUS","35.18:33.37","2014-09-01",400
"INDONESIA","-6.18:106.83","2014-08-01",398
"ISRAEL","31.78:35.22","2014-09-01",398
"NEW ZEALAND","-41.28:174.78","2014-07-01",396
"SOUTH AFRICA","-25.73:28.22","2014-07-01",395
"INDIA","28.6:77.22","2014-11-01",393
"INDIA","28.6:77.22","2014-09-01",391
"INDIA","28.6:77.22","2014-10-01",391
"NORWAY","59.91:10.75","2014-10-01",388
"MALTA","35.91:14.52","2014-09-01",384
"CYPRUS","35.18:33.37","2014-08-01",381
"INDIA","28.6:77.22","2014-08-01",377
"MALTA","35.91:14.52","2014-08-01",376
"ISRAEL","31.78:35.22","2014-08-01",373
"LIECHTENSTEIN","47.14:9.53","2014-10-01",369
"CHILE","-33.46:-70.64","2014-12-01",366
"NORWAY","59.91:10.75","2014-08-01",365
"NORWAY","59.91:10.75","2014-09-01",365
"CHILE","-33.46:-70.64","2014-11-01",365
"CHILE","-33.46:-70.64","2014-10-01",360
"CHILE","-33.46:-70.64","2014-08-01",357
"CHILE","-33.46:-70.64","2014-09-01",357
"ISLE OF MAN","54.15:-4.48","2014-07-01",355
"HUNGARY","47.51:19.08","2014-12-01",354
"ISRAEL","31.78:35.22","2014-07-01",352
"INDONESIA","-6.18:106.83","2014-07-01",351
"NORWAY","59.91:10.75","2014-07-01",349
"MALTA","35.91:14.52","2014-07-01",348
"HUNGARY","47.51:19.08","2014-11-01",344
"CHILE","-33.46:-70.64","2014-07-01",342
"HUNGARY","47.51:19.08","2014-10-01",337
"LIECHTENSTEIN","47.14:9.53","2014-09-01",334
"CYPRUS","35.18:33.37","2014-07-01",330
"LIECHTENSTEIN","47.14:9.53","2014-08-01",328
"INDIA","28.6:77.22","2014-07-01",321
"PORTUGAL","38.72:-9.14","2014-11-01",310
"PORTUGAL","38.72:-9.14","2014-10-01",307
"PORTUGAL","38.72:-9.14","2014-09-01",305
"HUNGARY","47.51:19.08","2014-09-01",304
"PORTUGAL","38.72:-9.14","2014-12-01",303
"PORTUGAL","38.72:-9.14","2014-08-01",298
"BELGIUM","50.83:4.33","2014-12-01",292
"LIECHTENSTEIN","47.14:9.53","2014-07-01",291
"PORTUGAL","38.72:-9.14","2014-07-01",287
"BELGIUM","50.83:4.33","2014-11-01",280
"UNITED ARAB EMIRATES","24.48:54.37","2014-12-01",278
"BELGIUM","50.83:4.33","2014-10-01",275
"BELGIUM","50.83:4.33","2014-09-01",272
"BELGIUM","50.83:4.33","2014-08-01",271
"UNITED ARAB EMIRATES","24.48:54.37","2014-11-01",263
"BELGIUM","50.83:4.33","2014-07-01",256
"DENMARK","55.68:12.57","2014-12-01",251
"UNITED ARAB EMIRATES","24.48:54.37","2014-10-01",250
"BELIZE","17.25:-88.79","2014-12-01",246
"TURKEY","39.93:32.85","2014-12-01",246
"TURKEY","39.93:32.85","2014-11-01",245
"BELIZE","17.25:-88.79","2014-11-01",243
"POLAND","52.26:21.02","2014-12-01",243
"BELIZE","17.25:-88.79","2014-10-01",240
"TURKEY","39.93:32.85","2014-10-01",240
"TURKEY","39.93:32.85","2014-09-01",235
"DENMARK","55.68:12.57","2014-11-01",235
"UNITED ARAB EMIRATES","24.48:54.37","2014-09-01",232
"BELIZE","17.25:-88.79","2014-09-01",228
"DENMARK","55.68:12.57","2014-10-01",225
"POLAND","52.26:21.02","2014-11-01",225
"TURKEY","39.93:32.85","2014-08-01",221
"DENMARK","55.68:12.57","2014-09-01",221
"UNITED ARAB EMIRATES","24.48:54.37","2014-08-01",220
"POLAND","52.26:21.02","2014-10-01",220
"DENMARK","55.68:12.57","2014-08-01",219
"POLAND","52.26:21.02","2014-09-01",217
"CHINA","39.93:116.4","2014-07-01",213
"TURKEY","39.93:32.85","2014-07-01",210
"POLAND","52.26:21.02","2014-08-01",210
"COLOMBIA","4.63:-74.09","2014-12-01",208
"COLOMBIA","4.63:-74.09","2014-11-01",206
"DENMARK","55.68:12.57","2014-07-01",204
"UNITED ARAB EMIRATES","24.48:54.37","2014-07-01",204
"UKRAINE","50.43:30.52","2014-12-01",203
"UKRAINE","50.43:30.52","2014-10-01",202
"UKRAINE","50.43:30.52","2014-11-01",202
"UKRAINE","50.43:30.52","2014-09-01",201
"PHILIPPINES","14.62:120.97","2014-12-01",201
"UKRAINE","50.43:30.52","2014-08-01",200
"PHILIPPINES","14.62:120.97","2014-11-01",200
"COLOMBIA","4.63:-74.09","2014-10-01",199
"PHILIPPINES","14.62:120.97","2014-10-01",198
"PHILIPPINES","14.62:120.97","2014-09-01",197
"COLOMBIA","4.63:-74.09","2014-09-01",194
"PHILIPPINES","14.62:120.97","2014-08-01",193
"COLOMBIA","4.63:-74.09","2014-08-01",188
"UKRAINE","50.43:30.52","2014-07-01",187
"BAHRAIN","26.21:50.58","2014-10-01",186
"BAHRAIN","26.21:50.58","2014-11-01",186
"COLOMBIA","4.63:-74.09","2014-07-01",184
"BAHRAIN","26.21:50.58","2014-12-01",184
"POLAND","52.26:21.02","2014-07-01",180
"BAHRAIN","26.21:50.58","2014-08-01",180
"BAHRAIN","26.21:50.58","2014-09-01",180
"PHILIPPINES","14.62:120.97","2014-07-01",178
"PERU","-12.07:-77.05","2014-12-01",178
"PERU","-12.07:-77.05","2014-11-01",176
"PERU","-12.07:-77.05","2014-10-01",175
"EGYPT","30.06:31.25","2014-12-01",175
"PERU","-12.07:-77.05","2014-08-01",174
"PERU","-12.07:-77.05","2014-09-01",174
"PERU","-12.07:-77.05","2014-07-01",172
"EGYPT","30.06:31.25","2014-11-01",168
"BELIZE","17.25:-88.79","2014-08-01",166
"BAHRAIN","26.21:50.58","2014-07-01",165
"EGYPT","30.06:31.25","2014-10-01",164
"HUNGARY","47.51:19.08","2014-08-01",163
"BARBADOS","13.11:-59.61","2014-12-01",162
"BARBADOS","13.11:-59.61","2014-11-01",158
"BARBADOS","13.11:-59.61","2014-09-01",157
"EGYPT","30.06:31.25","2014-09-01",157
"BARBADOS","13.11:-59.61","2014-10-01",157
"URUGUAY","-34.87:-56.17","2014-12-01",157
"BARBADOS","13.11:-59.61","2014-08-01",155
"URUGUAY","-34.87:-56.17","2014-11-01",153
"SAINT VINCENT AND THE GRENADINES","13.16:-61.23","2014-12-01",152
"URUGUAY","-34.87:-56.17","2014-09-01",151
"URUGUAY","-34.87:-56.17","2014-10-01",151
"URUGUAY","-34.87:-56.17","2014-08-01",150
"SAINT VINCENT AND THE GRENADINES","13.16:-61.23","2014-11-01",150
"CZECH REPUBLIC","50.08:14.43","2014-12-01",149
"EGYPT","30.06:31.25","2014-08-01",148
"SAINT VINCENT AND THE GRENADINES","13.16:-61.23","2014-10-01",148
"BARBADOS","13.11:-59.61","2014-07-01",146
"CZECH REPUBLIC","50.08:14.43","2014-11-01",145
"URUGUAY","-34.87:-56.17","2014-07-01",142
"LEBANON","33.88:35.5","2014-12-01",140
"ANGUILLA","18.22:-63.05","2014-11-01",139
"GREECE","37.98:23.73","2014-12-01",139
"ANGUILLA","18.22:-63.05","2014-12-01",138
"GREECE","37.98:23.73","2014-11-01",137
"LEBANON","33.88:35.5","2014-11-01",136
"BELIZE","17.25:-88.79","2014-07-01",135
"ANGUILLA","18.22:-63.05","2014-10-01",135
"LEBANON","33.88:35.5","2014-10-01",134
"MOROCCO","34.02:-6.84","2014-07-01",133
"ANGUILLA","18.22:-63.05","2014-09-01",133
"LEBANON","33.88:35.5","2014-09-01",133
"SAINT VINCENT AND THE GRENADINES","13.16:-61.23","2014-09-01",131
"BULGARIA","42.69:23.31","2014-12-01",131
"MOROCCO","34.02:-6.84","2014-12-01",131
"ANGUILLA","18.22:-63.05","2014-08-01",130
"MOROCCO","34.02:-6.84","2014-08-01",130
"MOROCCO","34.02:-6.84","2014-09-01",130
"MOROCCO","34.02:-6.84","2014-10-01",130
"MOROCCO","34.02:-6.84","2014-11-01",130
"LEBANON","33.88:35.5","2014-08-01",129
"COSTA RICA","10.97:-85.13","2014-12-01",129
"COSTA RICA","9.93:-84.08","2014-12-01",129
"SAINT VINCENT AND THE GRENADINES","13.16:-61.23","2014-08-01",128
"COSTA RICA","10.97:-85.13","2014-11-01",127
"COSTA RICA","9.93:-84.08","2014-11-01",127
"MONACO","43.74:7.42","2014-12-01",127
"COSTA RICA","10.97:-85.13","2014-09-01",125
"COSTA RICA","9.93:-84.08","2014-09-01",125
"COSTA RICA","10.97:-85.13","2014-10-01",125
"COSTA RICA","9.93:-84.08","2014-10-01",125
"GREECE","37.98:23.73","2014-10-01",125
"SAINT KITTS AND NEVIS","17.31:-62.73","2014-12-01",125
"SAINT VINCENT AND THE GRENADINES","13.16:-61.23","2014-07-01",124
"COSTA RICA","10.97:-85.13","2014-08-01",124
"COSTA RICA","9.93:-84.08","2014-08-01",124
"CZECH REPUBLIC","50.08:14.43","2014-10-01",124
"MONACO","43.74:7.42","2014-11-01",124
"SAINT KITTS AND NEVIS","17.31:-62.73","2014-11-01",124
"GREECE","37.98:23.73","2014-09-01",123
"LEBANON","33.88:35.5","2014-07-01",122
"ANGUILLA","18.22:-63.05","2014-07-01",120
"CZECH REPUBLIC","50.08:14.43","2014-09-01",120
"MONACO","43.74:7.42","2014-10-01",120
"SAINT KITTS AND NEVIS","17.31:-62.73","2014-10-01",120
"BULGARIA","42.69:23.31","2014-11-01",120
